subject,ag_voxels
sub-1096,1652
sub-1096,1308
sub-1096,2940
sub-865,7
sub-865,7
sub-1190,15
sub-1190,15
sub-1382,37
sub-1382,37
sub-1106,698
sub-1106,698
sub-1271,616
sub-1271,616
sub-1192,233
sub-1192,7
sub-1192,226
sub-346,41
sub-346,41
sub-196,2226
sub-196,2226
sub-596,256
sub-596,256
sub-484,812
sub-484,812
sub-1025,5365
sub-1025,5365
sub-880,132
sub-880,5
sub-880,128
sub-340,364
sub-340,364
sub-1275,1784
sub-1275,1784
sub-375,143
sub-375,143
sub-1001,1190
sub-1001,1190
sub-520,465
sub-520,465
sub-892,176
sub-892,176
sub-1545,4660
sub-1545,1127
sub-1545,5787
sub-1046,1223
sub-1046,1223
sub-1461,1575
sub-1461,666
sub-1461,916
sub-1015,6
sub-1015,6
sub-10,177
sub-10,177
sub-777,88
sub-777,88
sub-1388,253
sub-1388,253
sub-1362,163
sub-1362,163
sub-1536,75
sub-1536,75
sub-1158,572
sub-1158,572
sub-1580,146
sub-1580,146
sub-515,2623
sub-515,2623
sub-1414,226
sub-1414,226
sub-8,1413
sub-8,1413
sub-924,1596
sub-924,1596
sub-28,139
sub-28,139
sub-1723,447
sub-1723,447
sub-473,1182
sub-473,1182
sub-626,153
sub-626,153
sub-1677,279
sub-1677,279
sub-944,56
sub-944,56
sub-1209,2320
sub-1209,2320
sub-488,148
sub-488,148
sub-685,199
sub-685,199
sub-1136,54
sub-1136,54
sub-1071,2568
sub-1071,2568
sub-1624,32
sub-1624,32
sub-1653,6
sub-1653,6
sub-1637,1697
sub-1637,1697
sub-1474,41
sub-1474,41
sub-407,110
sub-407,110
sub-519,105
sub-519,105
sub-694,45
sub-694,45
sub-1685,493
sub-1685,493
sub-1021,88
sub-1021,88
sub-249,3943
sub-249,3943
sub-546,2
sub-546,2
sub-826,1348
sub-826,1348
sub-36,121
sub-36,121
sub-1232,6765
sub-1232,6765
sub-1152,555
sub-1152,555
sub-108,1133
sub-108,1133
sub-1482,179
sub-1482,179
sub-1484,175
sub-1484,175
sub-206,709
sub-206,709
sub-638,1779
sub-638,1779
sub-580,2298
sub-580,1563
sub-580,735
sub-1164,155
sub-1164,155
sub-1347,3446
sub-1347,3446
sub-257,17
sub-257,17
sub-1184,9
sub-1184,9
sub-724,8238
sub-724,8238
sub-1703,945
sub-1703,945
sub-928,3
sub-928,3
sub-345,2134
sub-345,2134
sub-1438,209
sub-1438,209
sub-1145,182
sub-1145,370
sub-1145,199
sub-344,5
sub-344,2118
sub-344,2123
sub-35,4287
sub-35,4287
sub-539,2788
sub-135,18
sub-135,18
sub-1595,6
sub-1595,6
sub-1607,9
sub-1607,228
sub-1607,237
sub-679,225
sub-679,225
sub-251,2771
sub-251,2771
sub-1156,3505
sub-1156,3505
sub-920,501
sub-920,501
sub-409,158
sub-409,158
sub-579,634
sub-579,634
sub-192,1498
sub-192,1498
sub-622,7
sub-622,7
sub-1214,41
sub-1214,41
sub-1112,47
sub-1112,47
sub-560,2207
sub-560,2207
sub-162,118
sub-162,118
sub-1283,2122
sub-1283,2122
sub-719,3653
sub-719,3653
sub-796,662
sub-796,662
sub-3,4276
sub-3,4276
sub-447,3295
sub-447,3295
sub-1302,939
sub-1302,939
sub-829,1165
sub-829,1165
sub-1364,3959
sub-1364,3959
sub-1098,67
sub-1098,67
sub-1101,247
sub-1101,247
sub-1320,58
sub-1320,295
sub-1320,353
sub-1563,51
sub-1563,51
sub-1490,1338
sub-1490,1338
sub-1178,213
sub-1178,213
sub-820,33
sub-820,33
sub-420,4137
sub-420,4137
sub-1321,118
sub-1321,118
sub-56,15
sub-56,15
sub-1415,10
sub-1415,10
sub-541,988
sub-541,988
sub-331,816
sub-331,816
sub-399,129
sub-399,129
sub-939,223
sub-939,223
sub-477,4342
sub-477,1030
sub-477,5372
sub-1281,185
sub-1281,185
sub-124,95
sub-124,95
sub-1676,56
sub-1676,56
sub-1608,2
sub-1608,2
sub-1395,7192
sub-1395,7192
sub-1546,41
sub-1546,41
sub-1200,458
sub-1200,458
sub-482,840
sub-482,840
sub-1469,54
sub-1469,54
sub-861,1976
sub-861,1976
sub-1128,15
sub-1128,15
sub-1319,27
sub-1319,27
sub-996,42
sub-996,42
sub-1367,24
sub-1367,24
sub-243,94
sub-243,94
sub-221,2244
sub-221,2244
sub-1352,1492
sub-1352,1492
sub-364,845
sub-364,845
sub-334,933
sub-334,933
sub-809,6
sub-809,6
sub-1668,1111
sub-1668,1111
sub-853,9
sub-853,9
sub-148,6396
sub-148,6396
sub-1247,910
sub-1247,910
sub-1248,94
sub-1248,94
sub-408,2222
sub-408,2222
sub-965,195
sub-965,195
sub-1016,45
sub-1016,45
sub-1039,1103
sub-1039,1103
sub-1076,3592
sub-1076,3592
sub-972,61
sub-972,61
sub-41,675
sub-41,675
sub-866,20
sub-866,20
sub-1478,6035
sub-1478,6035
sub-446,2707
sub-446,2707
sub-181,27
sub-181,27
sub-1282,4219
sub-1282,4219
sub-1149,4955
sub-1149,4854
sub-1149,130
sub-603,3
sub-603,3
sub-1652,162
sub-1652,162
sub-1508,4596
sub-1508,4596
sub-651,535
sub-651,535
sub-609,662
sub-609,662
sub-355,929
sub-355,929
sub-807,1671
sub-807,1671
sub-1373,7454
sub-1373,7454
sub-1238,229
sub-1238,229
sub-1413,1671
sub-1413,1671
sub-68,701
sub-68,701
sub-101,41
sub-101,41
sub-53,2958
sub-53,2958
sub-1150,1168
sub-1150,1168
sub-1673,2
sub-1673,2
sub-563,1767
sub-563,1767
sub-1386,3407
sub-1386,3407
sub-504,88
sub-504,88
sub-937,18
sub-937,18
sub-705,216
sub-705,216
sub-884,5
sub-884,5
sub-690,6
sub-690,6
sub-289,52
sub-289,52
sub-1432,488
sub-1432,488
sub-1443,3175
sub-1443,3175
sub-575,415
sub-575,415
sub-1566,30
sub-1566,30
sub-1243,21
sub-1243,21
sub-894,50
sub-894,2041
sub-894,1991
sub-1153,154
sub-1153,154
sub-1634,2075
sub-1634,2075
sub-208,40
sub-208,40
sub-1291,270
sub-1291,270
sub-118,31
sub-118,31
sub-188,627
sub-188,627
sub-873,1326
sub-873,1326
sub-13,46
sub-13,46
sub-1591,209
sub-1591,209
sub-605,4
sub-605,4
sub-630,195
sub-630,195
sub-1259,104
sub-1259,104
sub-314,228
